/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:5.4 CYCLES:312 ICOUNT:58 IHITRATE: 97.1 DHITRATE: 72.7
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:4.4 CYCLES:4507 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:4.3 CYCLES:4429 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:4.2 CYCLES:4339 ICOUNT:1035 IHITRATE: 90.8 DHITRATE: 99.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:4.3 CYCLES:4409 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:4.3 CYCLES:4493 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 97.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:4.4 CYCLES:4505 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:4.3 CYCLES:4499 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:4.4 CYCLES:4541 ICOUNT:1035 IHITRATE: 91.3 DHITRATE: 96.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:4.3 CYCLES:4437 ICOUNT:1035 IHITRATE: 91.1 DHITRATE: 98.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:4.3 CYCLES:4423 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:4.4 CYCLES:4507 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:4.3 CYCLES:4429 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:4.2 CYCLES:4339 ICOUNT:1035 IHITRATE: 90.8 DHITRATE: 99.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:4.3 CYCLES:4409 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:4.3 CYCLES:4493 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 97.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:4.4 CYCLES:4505 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:4.3 CYCLES:4499 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:4.4 CYCLES:4541 ICOUNT:1035 IHITRATE: 91.3 DHITRATE: 96.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:4.3 CYCLES:4437 ICOUNT:1035 IHITRATE: 91.1 DHITRATE: 98.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:4.3 CYCLES:4423 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:4.4 CYCLES:445 ICOUNT:102 IHITRATE: 97.5 DHITRATE: 86.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:3.2 CYCLES:4471 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 91.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:2.9 CYCLES:4083 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:2.9 CYCLES:4055 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:2.9 CYCLES:4127 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:2.9 CYCLES:4055 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:3.1 CYCLES:4413 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:3.0 CYCLES:4271 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:3.0 CYCLES:4271 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:3.1 CYCLES:4429 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:2.9 CYCLES:4069 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:3.0 CYCLES:4241 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 95.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:2.9 CYCLES:4083 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:2.9 CYCLES:4055 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:2.9 CYCLES:4127 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:2.9 CYCLES:4055 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:3.1 CYCLES:4413 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:3.0 CYCLES:4271 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:3.0 CYCLES:4271 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:3.1 CYCLES:4429 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:2.9 CYCLES:4069 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:5.2 CYCLES:52 ICOUNT:10 IHITRATE: 78.6 DHITRATE: 85.7
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:8.6 CYCLES:60 ICOUNT:7 IHITRATE: 71.4 DHITRATE: 75.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:5.0 CYCLES:45 ICOUNT:9 IHITRATE: 70.0 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:8.3 CYCLES:58 ICOUNT:7 IHITRATE: 69.2 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:5.2 CYCLES:52 ICOUNT:10 IHITRATE: 78.6 DHITRATE: 85.7
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:8.6 CYCLES:60 ICOUNT:7 IHITRATE: 71.4 DHITRATE: 75.0
